"id","carat","cut","color","clarity","depth","table","price","x","y","z"
"310",0.83,"Ideal","G","SI1",61.8,57,2800,6.03,6.07,3.74
"313",0.79,"Ideal","I","VS1",61.8,59,2800,5.92,5.95,3.67
"314",0.61,"Ideal","G","IF",62.3,56,2800,5.43,5.45,3.39
"316",0.96,"Ideal","F","I1",60.7,55,2801,6.37,6.41,3.88
"340",0.78,"Premium","G","VS2",60.8,58,2803,6.03,5.95,3.64
"352",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"355",0.74,"Premium","F","VS2",61.9,56,2805,5.8,5.77,3.58
"366",0.71,"Very Good","F","VS1",60,57,2807,5.84,5.9,3.52
"368",0.8,"Very Good","H","VS2",62.8,57,2808,5.87,5.91,3.7
"371",0.75,"Very Good","G","VS2",63.4,56,2808,5.78,5.74,3.65
"372",0.58,"Ideal","E","VVS2",60.9,56,2808,5.41,5.43,3.3
"376",0.71,"Premium","F","SI1",60.7,54,2809,5.84,5.8,3.53
"379",0.7,"Very Good","F","VS1",59.9,60,2810,5.77,5.84,3.48
"380",0.74,"Ideal","D","SI2",61.7,55,2810,5.81,5.85,3.6
"381",0.7,"Good","F","VS1",62.8,61,2810,5.57,5.61,3.51
"384",0.83,"Very Good","D","SI1",63.5,54,2811,5.98,5.95,3.79
"389",0.7,"Good","E","SI1",63.5,59,2812,5.49,5.53,3.5
"391",0.32,"Premium","I","SI1",62.7,58,554,4.37,4.34,2.73
"395",0.32,"Very Good","I","SI1",63.1,56,554,4.39,4.36,2.76
"404",0.32,"Good","I","SI1",63.9,55,554,4.36,4.34,2.78
"413",0.3,"Ideal","G","VS1",62.3,56,555,4.29,4.31,2.68
"424",0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68
"426",0.51,"Ideal","F","VVS1",62,57,2812,5.15,5.11,3.18
"433",0.55,"Very Good","D","VVS1",61.5,56,2815,5.23,5.27,3.23
"440",0.9,"Fair","J","VS2",65,56,2815,6.08,6.04,3.94
"441",0.95,"Fair","F","SI2",56,60,2815,6.62,6.53,3.68
"443",0.72,"Premium","E","VS2",58.3,58,2815,5.99,5.92,3.47
"455",0.71,"Premium","E","VS2",62.3,58,2817,5.69,5.65,3.53
"457",0.71,"Premium","E","SI1",59.2,59,2817,5.86,5.83,3.46
"461",0.9,"Ideal","J","VS2",62.8,55,2817,6.2,6.16,3.88
"468",0.8,"Ideal","H","SI1",61,57,2818,6.07,6,3.68
"475",0.72,"Ideal","H","VS1",62.3,56,2819,5.73,5.77,3.58
"487",0.73,"Very Good","E","SI1",63.2,58,2821,5.76,5.7,3.62
"493",0.6,"Ideal","F","VVS2",62,55,2822,5.37,5.4,3.34
"508",0.7,"Premium","E","VS2",60.7,62,2822,5.72,5.68,3.46
"509",0.7,"Premium","F","VS2",60.6,58,2822,5.8,5.72,3.49
"510",0.7,"Ideal","D","SI1",61.4,54,2822,5.75,5.71,3.52
"516",0.71,"Ideal","E","SI1",60.5,56,2823,5.77,5.73,3.47
"520",0.82,"Ideal","F","SI2",62.4,54,2824,6.02,5.97,3.74
"522",0.71,"Premium","G","VS1",62.2,59,2825,5.73,5.66,3.54
"525",0.83,"Premium","H","SI1",62.5,59,2825,6.02,5.95,3.74
"529",0.7,"Good","E","VS1",57.2,59,2826,5.94,5.88,3.38
"532",0.7,"Very Good","D","VS2",63.3,56,2826,5.6,5.58,3.54
"543",1.01,"Premium","H","SI2",61.6,61,2828,6.39,6.31,3.91
"544",0.72,"Premium","F","VS1",62.2,58,2829,5.75,5.7,3.56
"545",0.8,"Good","E","SI2",63.7,54,2829,5.91,5.87,3.75
"551",0.77,"Very Good","H","SI1",61.7,56,2830,5.84,5.89,3.62
"553",0.53,"Ideal","F","VVS1",60.9,57,2830,5.23,5.29,3.19
"556",0.9,"Premium","G","SI1",60.6,62,2830,6.21,6.13,3.74
"559",0.75,"Ideal","E","SI1",61.4,57,2831,5.82,5.87,3.59
"561",0.79,"Ideal","G","SI1",61.8,56,2831,5.93,5.91,3.66
"567",0.71,"Premium","F","VS1",62.2,58,2832,5.72,5.66,3.54
"574",0.85,"Ideal","H","SI2",62.5,57,2833,6.02,6.07,3.78
"576",0.8,"Ideal","G","VS2",62.2,56,2834,5.94,5.87,3.67
"578",0.51,"Very Good","D","VVS1",59.9,58,2834,5.16,5.19,3.1
"581",0.9,"Very Good","J","SI1",63.4,54,2834,6.17,6.14,3.9
"583",0.77,"Ideal","E","SI2",60.7,55,2834,6.01,5.95,3.63
"584",0.73,"Ideal","F","VS1",61.2,56,2835,5.89,5.81,3.58
"595",0.76,"Very Good","H","SI1",60.9,55,2838,5.92,5.94,3.61
"597",0.72,"Premium","F","VS1",58.8,60,2838,5.91,5.89,3.47
"598",0.7,"Premium","F","VS2",62.3,58,2838,5.72,5.64,3.54
"611",0.71,"Premium","F","VS1",59,60,2839,5.82,5.8,3.43
"623",0.7,"Ideal","F","SI1",61,56,2840,5.75,5.8,3.52
"626",0.83,"Premium","F","SI2",61.4,59,2840,6.08,6.04,3.72
"638",0.73,"Premium","F","VS2",59.9,59,2841,5.87,5.77,3.5
"639",0.73,"Premium","G","VS1",61.4,58,2841,5.82,5.77,3.56
"640",0.8,"Ideal","I","VS1",62.6,54,2842,5.92,5.96,3.72
"648",0.73,"Very Good","F","VS1",61.8,59,2843,5.73,5.79,3.56
"651",0.71,"Ideal","G","VVS2",60.7,57,2843,5.81,5.78,3.52
"655",1.01,"Good","I","I1",63.1,57,2844,6.35,6.39,4.02
"656",0.79,"Ideal","H","VS2",62.5,57,2844,5.91,5.93,3.7
"665",1.01,"Good","H","I1",64.2,61,2846,6.25,6.18,3.99
"679",0.74,"Very Good","E","VS1",63.1,58,2849,5.75,5.73,3.62
"680",0.7,"Very Good","E","VS2",61,60,2850,5.74,5.77,3.51
"681",0.7,"Ideal","F","VS2",60.8,59,2850,5.69,5.79,3.49
"682",0.75,"Ideal","J","SI1",61.5,56,2850,5.83,5.87,3.6
"692",0.73,"Ideal","E","SI1",62.7,55,2852,5.7,5.79,3.6
"695",0.71,"Good","G","VS1",63.5,55,2853,5.64,5.66,3.59
"696",0.79,"Ideal","D","SI2",62.8,57,2853,5.9,5.85,3.69
"700",0.78,"Very Good","H","VS1",61.9,57.1,2854,5.87,5.95,3.66
"708",0.7,"Premium","E","VS1",58.4,59,2854,5.91,5.83,3.43
"709",0.68,"Premium","F","VVS2",61.7,57,2854,5.67,5.64,3.49
"714",1.02,"Fair","I","SI1",53,63,2856,6.84,6.77,3.66
"724",0.34,"Good","G","VS2",57.5,61,556,4.6,4.66,2.66
"727",0.34,"Good","E","SI1",63.4,55,556,4.44,4.46,2.82
"733",0.31,"Ideal","I","VVS1",62.3,54,557,4.37,4.4,2.73
"735",0.31,"Ideal","I","VVS1",62.7,53,557,4.33,4.35,2.72
"736",0.31,"Ideal","I","VVS1",62.2,53,557,4.36,4.38,2.72
"739",0.31,"Ideal","H","VS1",61.8,54.2,557,4.33,4.37,2.69
"750",0.33,"Premium","I","SI1",60.4,59,557,4.54,4.5,2.73
"765",0.71,"Very Good","E","VS2",63.5,59,2858,5.68,5.59,3.58
"766",0.92,"Premium","J","SI1",62.9,58,2858,6.22,6.18,3.9
"771",0.9,"Fair","G","SI2",64.5,56,2858,6.06,6,3.89
"784",0.53,"Ideal","F","VVS1",61.4,57,2860,5.23,5.2,3.2
"785",0.71,"Premium","D","SI1",60.7,58,2861,5.95,5.78,3.56
"786",0.62,"Ideal","G","VVS2",61.6,56,2861,5.45,5.48,3.37
"787",0.62,"Ideal","G","VVS2",61.6,56,2861,5.48,5.51,3.38
"789",0.62,"Fair","F","IF",60.1,61,2861,5.53,5.56,3.33
"796",0.71,"Very Good","F","VVS1",63.2,60,2862,5.65,5.61,3.56
"798",0.7,"Very Good","E","VS2",58.7,63,2862,5.73,5.69,3.35
"801",1.22,"Premium","E","I1",60.9,57,2862,6.93,6.88,4.21
"803",0.73,"Premium","E","VS2",62.5,61,2862,5.78,5.64,3.59
"819",0.72,"Premium","E","SI1",60.9,60,2863,5.78,5.74,3.51
"821",0.81,"Ideal","E","SI2",60.3,57,2864,6.07,6.04,3.65
"823",0.73,"Premium","D","SI1",60.8,55,2865,5.87,5.81,3.55
"824",0.56,"Very Good","D","VVS1",62,56,2866,5.25,5.3,3.27
"825",0.56,"Very Good","D","VVS1",61.8,55,2866,5.27,5.31,3.27
"827",0.7,"Ideal","H","VVS1",62.3,58,2866,5.66,5.7,3.54
"838",0.82,"Premium","F","SI2",59.7,57,2867,6.14,6.12,3.66
"844",0.75,"Very Good","E","SI1",63.1,56,2868,5.78,5.7,3.62
"865",0.75,"Very Good","D","SI1",60.7,55,2872,5.87,5.92,3.58
"866",1.02,"Ideal","I","I1",61.7,56,2872,6.44,6.49,3.99
"872",0.7,"Very Good","D","SI1",60.2,60,2872,5.75,5.82,3.48
"886",0.9,"Premium","J","SI1",60.9,61,2873,6.26,6.22,3.8
"898",1,"Fair","J","VS1",65.5,55,2875,6.3,6.25,4.11
"899",1,"Fair","I","SI1",66.3,61,2875,6.08,6.03,4.01
"900",1,"Fair","H","SI2",69.5,55,2875,6.17,6.1,4.26
"901",0.73,"Premium","E","VS1",62.6,60,2876,5.68,5.75,3.58
"905",0.74,"Ideal","G","VS2",62.3,55,2877,5.8,5.83,3.62
"907",0.7,"Good","F","VS1",59.1,62,2877,5.82,5.86,3.44
"910",0.79,"Very Good","D","SI2",59.7,58,2878,6,6.07,3.6
"923",0.74,"Very Good","D","SI1",63.9,57,2880,5.72,5.74,3.66
"925",0.71,"Very Good","E","VS2",60,59,2881,5.84,5.83,3.5
"934",0.9,"Fair","H","SI2",65,61,2883,6.01,5.96,3.89
"935",1.03,"Fair","I","SI2",65.3,55,2884,6.32,6.27,4.11
"939",0.8,"Fair","E","SI1",56.3,63,2885,6.22,6.14,3.48
"940",0.9,"Fair","D","SI2",66.9,57,2885,6.02,5.9,3.99
"946",0.72,"Very Good","G","VVS2",62.5,58,2889,5.68,5.72,3.56
"948",0.7,"Very Good","F","VS1",62.2,58,2889,5.64,5.75,3.54
"957",0.8,"Ideal","F","SI1",62.4,57,2890,5.9,5.87,3.67
"961",0.71,"Very Good","E","VS2",61.2,58,2891,5.71,5.79,3.52
"963",0.71,"Ideal","E","VS2",61.6,56,2891,5.74,5.76,3.54
"972",0.75,"Ideal","F","VS2",62.5,57,2893,5.78,5.83,3.63
"980",0.76,"Ideal","F","SI1",61.4,56,2894,5.88,5.92,3.62
"981",0.71,"Very Good","G","VS2",60.9,56,2895,5.75,5.78,3.51
"985",0.77,"Very Good","G","VS2",61.3,60,2896,5.81,5.91,3.59
"994",0.6,"Very Good","D","VVS2",60.6,57,2897,5.48,5.51,3.33
"1000",1.12,"Premium","J","SI2",60.6,59,2898,6.68,6.61,4.03
"1001",0.75,"Ideal","D","SI1",62.3,55,2898,5.83,5.8,3.62
"1002",0.77,"Ideal","D","SI1",62.6,57,2898,5.92,5.81,3.67
"1016",0.74,"Ideal","E","VS2",61.9,57,2901,5.81,5.78,3.59
"1021",0.71,"Premium","E","VS2",59.6,60,2902,5.85,5.8,3.47
"1022",0.75,"Premium","D","SI1",62.8,60,2903,5.78,5.74,3.62
"1027",0.79,"Very Good","F","SI1",63,54,2904,5.91,5.94,3.73
"1032",0.7,"Very Good","G","VVS2",63.4,59,2905,5.62,5.64,3.57
"1034",0.71,"Very Good","G","VS2",62.1,58,2905,5.65,5.71,3.53
"1036",0.53,"Ideal","D","VVS1",62.5,54,2905,5.16,5.21,3.24
"1042",0.74,"Good","E","SI1",62.8,61,2906,5.74,5.76,3.61
"1050",0.72,"Ideal","E","SI1",62.6,56,2907,5.7,5.73,3.58
"1054",0.25,"Premium","F","VS1",61.2,59,558,4.05,4.02,2.47
"1059",0.31,"Premium","I","VS2",59.8,60,558,4.42,4.38,2.63
"1071",0.31,"Premium","I","VS2",60.7,61,558,4.34,4.32,2.63
"1072",0.31,"Very Good","I","VS2",63.1,54,558,4.34,4.31,2.73
"1074",0.31,"Premium","H","SI1",61.7,59,558,4.39,4.36,2.7
"1082",0.73,"Ideal","I","VS1",61.5,55,2908,5.8,5.84,3.58
"1083",0.7,"Premium","D","VS2",61,60,2909,5.75,5.7,3.49
"1084",0.7,"Premium","D","VS2",60.9,57,2909,5.71,5.69,3.47
"1085",0.71,"Ideal","H","VS1",61.2,56,2909,5.76,5.81,3.54
"1091",0.71,"Ideal","G","VS2",60.6,56,2911,5.76,5.8,3.5
"1095",0.73,"Good","E","VS2",63.2,56,2912,5.75,5.76,3.64
"1098",1,"Fair","I","SI1",66,56,2912,6.31,6.24,4.13
"1108",0.83,"Premium","E","SI1",62.2,59,2913,6.05,5.97,3.74
"1109",0.85,"Ideal","G","SI2",62,57,2913,6.1,6.02,3.76
"1110",0.8,"Very Good","F","SI1",63.5,55,2914,5.86,5.89,3.73
"1119",0.7,"Ideal","E","VS2",62.5,58,2917,5.63,5.67,3.53
"1121",0.71,"Very Good","F","VS2",59.5,58,2918,5.82,5.87,3.48
"1122",0.8,"Very Good","H","VS2",61.2,53,2918,5.98,6.05,3.68
"1126",0.72,"Very Good","G","VS1",60.5,57,2919,5.8,5.83,3.52
"1127",0.8,"Very Good","H","SI1",62.5,56,2919,5.92,5.96,3.71
"1129",0.7,"Good","F","VS1",63.8,58,2919,5.61,5.58,3.57
"1131",0.73,"Ideal","G","VVS2",61.9,55,2919,5.83,5.77,3.59
"1137",0.71,"Very Good","E","VS2",59.9,59,2921,5.77,5.81,3.47
"1141",0.9,"Fair","I","VS2",64.1,66,2921,6.04,5.98,3.85
"1153",0.71,"Ideal","E","VS1",62.4,54,2923,5.71,5.74,3.57
"1157",0.9,"Premium","I","VS2",58.7,60,2923,6.35,6.28,3.7
"1165",0.81,"Good","D","SI2",63.6,55,2926,5.91,5.86,3.74
"1170",0.9,"Premium","H","SI2",59.5,60,2927,6.32,6.29,3.75
"1186",0.7,"Very Good","G","VVS2",60.8,57,2931,5.72,5.76,3.49
"1187",0.72,"Very Good","F","VS2",63.3,57,2931,5.69,5.72,3.61
"1199",0.91,"Premium","H","SI1",60.2,52,2935,6.27,6.15,3.74
"1203",0.81,"Very Good","H","SI1",60.2,58,2936,6.06,6.1,3.66
"1216",0.77,"Premium","D","SI1",59.5,60,2939,6.01,5.95,3.56
"1227",0.7,"Ideal","F","VS1",61.2,54,2940,5.92,5.64,3.54
"1229",1,"Good","H","I1",57.6,61,2940,6.67,6.6,3.82
"1230",0.75,"Ideal","E","VS2",61.6,57,2940,5.84,5.81,3.59
"1241",0.72,"Ideal","F","VS2",62,56,2943,5.77,5.75,3.57
"1246",0.78,"Very Good","D","SI1",62.4,58,2945,5.86,5.9,3.67
"1251",0.72,"Ideal","H","VVS1",62.5,57,2946,5.7,5.73,3.57
"1255",0.76,"Ideal","E","VS1",62.1,57,2947,5.82,5.87,3.63
"1258",0.7,"Ideal","H","VVS1",61.2,57,2947,5.69,5.72,3.49
"1264",0.9,"Premium","I","SI1",60.9,56,2947,6.26,6.21,3.8
"1281",0.72,"Very Good","D","VS1",62.7,58,2951,5.65,5.68,3.55
"1286",0.7,"Very Good","E","VS2",63.4,59,2952,5.63,5.67,3.58
"1287",0.7,"Very Good","E","VS2",61.8,59,2952,5.63,5.67,3.49
"1306",0.89,"Premium","I","VS1",62.2,62,2955,6.14,6.02,3.78
"1314",0.7,"Premium","D","VS1",60.4,58,2956,5.78,5.71,3.47
"1317",0.72,"Ideal","H","VVS1",62,55,2958,5.74,5.77,3.57
"1324",0.82,"Ideal","I","SI1",61.8,55,2959,6,6.03,3.72
"1325",0.74,"Fair","G","VVS2",65.2,58,2959,5.7,5.6,3.69
"1331",0.72,"Ideal","G","VS2",61.3,56,2960,5.77,5.81,3.55
"1339",0.73,"Premium","F","VS1",62.7,56,2961,5.75,5.73,3.6
"1344",0.75,"Premium","H","VS1",61.9,61,2961,5.85,5.82,3.61
"1351",0.91,"Very Good","E","SI2",58.6,63,2963,6.38,6.32,3.72
"1354",0.71,"Very Good","D","SI1",59.4,59,2964,5.78,5.81,3.44
"1362",1,"Fair","G","SI1",65.7,54,2964,6.24,6.16,4.07
"1363",1.5,"Fair","H","I1",65.6,54,2964,7.26,7.09,4.7
"1367",0.71,"Ideal","I","VS1",61.6,56,2965,5.71,5.75,3.53
"1370",0.7,"Ideal","G","SI1",61.7,55,2965,5.7,5.73,3.53
"1371",0.7,"Ideal","G","SI1",60.9,56,2965,5.73,5.79,3.51
"1376",0.82,"Ideal","F","SI2",60.9,57,2966,6.06,6.02,3.68
"1384",0.3,"Very Good","H","VVS2",62,56,559,4.28,4.3,2.66
"1391",0.24,"Ideal","G","VVS1",62,55,559,4.01,4.03,2.49
"1392",0.24,"Ideal","G","VVS1",62,56,559,3.97,4.01,2.47
"1394",0.32,"Ideal","E","SI1",61,56,559,4.41,4.45,2.7
"1397",0.24,"Ideal","G","IF",61.8,55,559,3.99,4.02,2.47
"1413",1.13,"Fair","H","I1",64.8,59,2968,6.52,6.42,4.19
"1416",0.9,"Ideal","G","SI2",62.4,57,2968,6.16,6.13,3.84
"1424",0.91,"Fair","F","SI1",64.9,57,2971,6.13,6.08,3.96
"1429",0.81,"Premium","H","VS1",62.6,58,2972,5.96,5.9,3.71
"1435",0.7,"Good","E","VS1",59.8,62,2973,5.74,5.8,3.45
"1437",0.57,"Ideal","F","IF",61.8,54,2974,5.33,5.35,3.3
"1439",1,"Fair","D","SI2",69.3,58,2974,5.96,5.87,4.1
"1446",0.83,"Ideal","H","VS2",61.3,54,2975,6.1,6.06,3.73
"1447",0.77,"Premium","E","SI1",60.4,58,2975,6,5.88,3.59
"1448",0.79,"Ideal","F","SI1",62.5,57,2976,5.88,5.92,3.69
"1455",0.71,"Ideal","G","VVS2",62.5,58,2978,5.7,5.73,3.57
"1458",0.76,"Ideal","E","SI2",62.1,56,2978,5.85,5.88,3.64
"1462",0.7,"Ideal","E","VS2",61.5,57,2980,5.67,5.78,3.52
"1464",0.64,"Good","F","IF",58.6,61,2980,5.69,5.71,3.34
"1474",0.74,"Ideal","E","VS2",62.7,54,2984,5.8,5.77,3.63
"1481",0.8,"Ideal","I","VS1",61.9,54.1,2986,5.92,5.98,3.69
"1486",0.77,"Premium","E","SI1",61.7,58,2988,5.86,5.9,3.63
"1487",0.6,"Very Good","F","IF",60.1,54,2988,5.5,5.58,3.33
"1488",1.03,"Very Good","G","I1",63.2,58,2988,6.44,6.34,4.04
"1489",0.76,"Ideal","I","IF",61.6,55,2988,5.92,5.89,3.64
"1491",0.83,"Premium","D","SI1",61.3,58,2990,6.03,6,3.69
"1496",0.7,"Ideal","D","VS2",60.3,60,2991,5.71,5.76,3.46
"1501",0.87,"Very Good","H","SI2",61,56,2993,6.15,6.19,3.77
"1502",0.75,"Very Good","E","SI1",63.6,56,2993,5.73,5.75,3.65
"1504",0.7,"Ideal","F","VS1",62.4,55,2993,5.65,5.7,3.54
"1505",0.75,"Ideal","E","SI1",61.1,57,2993,5.83,5.86,3.57
"1506",0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
"1511",1.24,"Premium","J","I1",61.9,55,2994,6.92,6.85,4.26
"1514",0.73,"Ideal","D","SI1",61.4,56,2995,5.78,5.82,3.56
"1515",0.7,"Ideal","G","VS1",60.9,56,2995,5.76,5.8,3.52
"1517",0.88,"Very Good","I","VS1",63.3,55,2996,6.11,6.06,3.85
"1529",0.87,"Premium","F","SI2",61.6,58,2999,6.14,6.1,3.77
"1530",0.71,"Ideal","F","SI1",61.9,56,2999,5.69,5.74,3.54
"1533",0.74,"Premium","E","VS1",60.9,62,2999,5.83,5.8,3.54
"1537",0.9,"Premium","I","SI2",60.6,60,3001,6.23,6.28,3.79
"1546",0.83,"Very Good","E","SI1",62.1,58,3002,6.01,6.04,3.74
"1552",0.8,"Premium","G","VS2",60.6,59,3002,6.02,5.97,3.63
"1554",0.76,"Ideal","E","SI1",61.5,56,3003,5.89,5.91,3.63
"1561",0.78,"Ideal","G","SI1",60.6,57,3004,5.95,5.97,3.61
"1563",0.92,"Premium","D","SI2",60.2,61,3004,6.32,6.27,3.79
"1564",0.75,"Very Good","E","SI1",61.1,59,3005,5.85,5.9,3.59
"1571",0.71,"Premium","E","VS1",61.1,58,3006,5.8,5.76,3.53
"1574",0.71,"Ideal","I","VVS2",60.7,57,3007,5.76,5.8,3.51
"1575",0.71,"Ideal","I","VVS2",60.4,57,3007,5.78,5.81,3.5
"1578",0.71,"Ideal","G","SI1",61.6,55,3007,5.72,5.78,3.54
"1597",1,"Very Good","G","I1",62.5,62,3011,6.42,6.35,3.99
"1604",0.7,"Ideal","F","VS2",62.7,55,3011,5.66,5.69,3.56
"1609",1,"Fair","E","SI2",55.4,62,3011,6.63,6.59,3.66
"1612",0.72,"Ideal","G","VS2",61.7,56,3012,5.74,5.78,3.55
"1618",0.71,"Ideal","F","VS1",61.1,57,3013,5.76,5.82,3.54
"1623",0.71,"Ideal","H","VVS1",61.8,56,3014,5.7,5.75,3.54
"1624",0.73,"Very Good","D","SI1",60.8,59,3014,5.8,5.85,3.54
"1627",0.84,"Very Good","G","SI2",62.8,57,3015,6,6.04,3.78
"1633",0.7,"Ideal","E","VS1",62.7,57,3016,5.65,5.7,3.56
"1634",0.9,"Good","F","SI2",64.2,62,3016,6,6.08,3.88
"1635",0.76,"Ideal","H","VS2",61.9,55,3016,5.85,5.88,3.64
"1637",0.9,"Ideal","H","SI2",62.8,55,3016,6.18,6.11,3.86
"1648",0.72,"Ideal","H","VS2",61.2,57,3018,5.79,5.77,3.54
"1654",0.78,"Premium","D","SI1",60.4,57,3019,6.02,5.97,3.62
"1660",0.9,"Good","H","SI2",63.1,55,3024,6.08,6.13,3.85
"1663",0.9,"Good","J","VS2",63.9,58,3024,6.15,6.08,3.91
"1664",0.72,"Premium","E","VS2",60.4,61,3024,5.79,5.76,3.49
"1671",0.65,"Very Good","D","VVS2",57.7,60,3025,5.69,5.74,3.3
"1688",0.71,"Very Good","D","VS2",63,57,3033,5.67,5.7,3.58
"1692",0.7,"Good","D","VS2",64.1,59,3033,5.56,5.49,3.54
"1695",0.92,"Fair","I","VS2",64.4,58,3033,6.13,6.1,3.94
